policy,lambda,cost-exponent,sim-time,avg-srv-time,tasks-srvd,max-wait-time,avg-wait-time,wait-sd,total-travel-distance,avg-agent-dist,avg-task-dist,max-agent-dist,max_queue_len
quad wait tsp,0.6,1.75,1661.499999998634,3726.996270539564,1000,16.436720376200583,3.7269962705395643,2.692163194383007,378.2703907065411,378.2703907065411,0.3782703907065411,378.2703907065411,12
quad wait tsp,0.6,1.75,1668.4399999986276,3738.2200858529113,1000,20.56039485552958,3.7382200858529115,2.6620837530082806,382.2039294518738,382.2039294518738,0.3822039294518738,382.2039294518738,13
quad wait tsp,0.6,1.75,1759.9499999985444,3119.9551028348105,1000,13.975463844808473,3.1199551028348105,2.065854872544685,417.12990108642,417.12990108642,0.41712990108641995,417.12990108642,11
quad wait tsp,0.6,1.75,1736.139999998566,3595.4246566340835,1000,17.663451291234196,3.5954246566340835,2.654637687842176,388.05790554285,388.05790554285,0.38805790554284997,388.05790554285,13
quad wait tsp,0.6,1.75,1690.8199999986073,3433.133117762507,1000,16.045765366914054,3.433133117762507,2.339790382383303,392.33446869194546,392.33446869194546,0.39233446869194544,392.33446869194546,11
quad wait tsp,0.7,1.75,1424.5399999988495,5891.061089050117,1000,32.91354898998361,5.891061089050116,4.788330113039751,297.8713622135339,297.8713622135339,0.29787136221353394,297.8713622135339,20
quad wait tsp,0.7,1.75,1431.0499999988435,5502.05864503402,1000,31.003354819004358,5.50205864503402,4.0112329190377025,307.965409963921,307.965409963921,0.30796540996392097,307.965409963921,17
quad wait tsp,0.7,1.75,1508.7499999987729,4346.92580244625,1000,17.78489194079657,4.34692580244625,3.0652967980161328,348.78887315068346,348.78887315068346,0.34878887315068346,348.78887315068346,14
quad wait tsp,0.7,1.75,1488.2199999987915,5031.2339914180275,1000,27.166780575636267,5.031233991418027,3.925207269614201,323.71417551998843,323.71417551998843,0.32371417551998843,323.71417551998843,19
quad wait tsp,0.7,1.75,1449.6899999988266,4856.07552952783,1000,20.07676240805415,4.85607552952783,3.479086236496392,317.6597959718498,317.6597959718498,0.3176597959718498,317.6597959718498,12
