policy,lambda,cost-exponent,sim-time,avg-srv-time,tasks-srvd,max-wait-time,avg-wait-time,wait-sd,total-travel-distance,avg-agent-dist,avg-task-dist,max-agent-dist,max_queue_len
quad wait tsp,0.6,1.5,1662.1999999986333,4498.176270538885,1000,24.19854631737951,4.498176270538885,3.3710024954453166,431.9180777643475,431.9180777643475,0.43191807776434754,431.9180777643475,13
quad wait tsp,0.6,1.5,1668.6199999986275,4488.360085852258,1000,24.990494470226167,4.488360085852258,3.559711556475565,421.4498223525215,421.4498223525215,0.4214498223525215,421.4498223525215,14
quad wait tsp,0.6,1.5,1759.7199999985446,3742.225102834308,1000,19.999782951733778,3.742225102834308,2.702997217219931,464.85837114815496,464.85837114815496,0.464858371148155,464.85837114815496,13
quad wait tsp,0.6,1.5,1737.329999998565,4189.48465663361,1000,21.415119741781837,4.18948465663361,3.202605849623531,445.8823046794881,445.8823046794881,0.4458823046794881,445.8823046794881,15
quad wait tsp,0.6,1.5,1691.159999998607,4044.6431177619743,1000,19.77069147230077,4.044643117761974,3.05530495370532,444.63273696742897,444.63273696742897,0.44463273696742894,444.63273696742897,12
quad wait tsp,0.7,1.5,1425.7999999988483,7340.481089048815,1000,32.96808445782551,7.340481089048815,5.8987993423600145,342.4016637984075,342.4016637984075,0.34240166379840753,342.4016637984075,20
quad wait tsp,0.7,1.5,1431.2299999988434,7078.818645032671,1000,31.614550115462407,7.078818645032671,5.349101877073643,347.91198622279165,347.91198622279165,0.3479119862227917,347.91198622279165,20
quad wait tsp,0.7,1.5,1509.2299999987724,5461.085802445369,1000,39.84063567873898,5.4610858024453695,4.070594642183997,392.55601170437683,392.55601170437683,0.3925560117043768,392.55601170437683,17
quad wait tsp,0.7,1.5,1490.4199999987895,6248.303991416996,1000,31.916022228981774,6.2483039914169956,4.778221600882269,369.1583719779292,369.1583719779292,0.3691583719779292,369.1583719779292,19
quad wait tsp,0.7,1.5,1450.0299999988263,6247.175529526643,1000,23.06747218439523,6.247175529526643,4.554749295537179,366.0113615110083,366.0113615110083,0.3660113615110083,366.0113615110083,15
quad wait tsp,0.8,1.5,1252.439999999006,14861.76220292662,1000,60.485537624877566,14.86176220292662,10.164205665966934,233.91815490679144,233.91815490679144,0.23391815490679144,233.91815490679144,34
quad wait tsp,0.8,1.5,1263.359999998996,14268.947564412274,1000,51.53231432302164,14.268947564412274,9.25601675744452,245.71157925828157,245.71157925828157,0.24571157925828158,245.71157925828157,29
quad wait tsp,0.8,1.5,1325.1699999989398,10424.476327151342,1000,58.616806218892975,10.424476327151343,7.4521273509388,287.3301147110517,287.3301147110517,0.2873301147110517,287.3301147110517,27
quad wait tsp,0.8,1.5,1311.6399999989521,11434.935992501125,1000,42.03905954883248,11.434935992501124,7.407894701912155,269.94744488745266,269.94744488745266,0.26994744488745265,269.94744488745266,23
quad wait tsp,0.8,1.5,1277.2699999989834,13167.577338345227,1000,40.66641667104,13.167577338345227,7.7496363238424175,249.6674952934146,249.6674952934146,0.2496674952934146,249.6674952934146,28
quad wait tsp,0.85,1.5,1200.759999999053,28144.795602749582,1000,80.73235021536595,28.144795602749582,17.004402253024395,186.65267229581087,186.65267229581087,0.18665267229581087,186.65267229581087,49
quad wait tsp,0.85,1.5,1207.0099999990473,22364.358884152272,1000,73.4562922038665,22.36435888415227,14.16932137052291,196.23493449884288,196.23493449884288,0.19623493449884288,196.23493449884288,38
quad wait tsp,0.85,1.5,1250.0499999990082,16086.417719673924,1000,55.099399005866076,16.086417719673925,10.883307686318053,234.9648863597599,234.9648863597599,0.2349648863597599,234.9648863597599,34
quad wait tsp,0.85,1.5,1240.1499999990172,16918.59622823835,1000,52.62852261556782,16.91859622823835,9.208801683552313,217.0039216124483,217.0039216124483,0.2170039216124483,217.0039216124483,29
quad wait tsp,0.85,1.5,1221.7899999990339,21430.953965501456,1000,72.3738227316004,21.430953965501455,12.82158712879024,201.84349489995375,201.84349489995375,0.20184349489995376,201.84349489995375,42
quad wait tsp,0.9,1.5,1170.2099999990808,45227.16751369771,1000,127.63471859590254,45.22716751369771,28.298172198388862,156.81578902578053,156.81578902578053,0.15681578902578053,156.81578902578053,69
quad wait tsp,0.9,1.5,1175.0199999990764,35701.82005724945,1000,106.90238779571564,35.701820057249456,22.92721106578427,164.26204411446454,164.26204411446454,0.16426204411446454,164.26204411446454,61
quad wait tsp,0.9,1.5,1193.4599999990596,26898.43340191133,1000,93.09562313400193,26.89843340191133,15.177164116026804,181.3211295189902,181.3211295189902,0.1813211295189902,181.3211295189902,46
quad wait tsp,0.9,1.5,1188.8299999990638,30127.883104441982,1000,74.97354512019456,30.12788310444198,14.284272672913884,169.93290597564572,169.93290597564572,0.16993290597564573,169.93290597564572,47
quad wait tsp,0.9,1.5,1184.8299999990675,35156.22874518965,1000,104.07687639968367,35.15622874518965,21.684110525307716,170.53837287304765,170.53837287304765,0.17053837287304766,170.53837287304765,65
quad wait tsp,0.95,1.5,1153.0299999990964,64920.8518550692,1000,173.77191719530094,64.9208518550692,40.580125176920944,139.76726332505345,139.76726332505345,0.13976726332505346,139.76726332505345,101
quad wait tsp,0.95,1.5,1154.1999999990953,54968.07163317177,1000,171.3801871064005,54.96807163317177,35.232667348267675,143.71246506219717,143.71246506219717,0.14371246506219718,143.71246506219717,93
quad wait tsp,0.95,1.5,1165.3399999990852,42598.23322285509,1000,115.49121519842151,42.598233222855086,23.9827773220469,153.12372833093414,153.12372833093414,0.15312372833093416,153.12372833093414,66
quad wait tsp,0.95,1.5,1161.4499999990887,48073.97294104,1000,124.29846870076403,48.073972941040005,24.15127399741766,143.51710358516723,143.51710358516723,0.14351710358516723,143.51710358516723,68
quad wait tsp,0.95,1.5,1159.5299999990905,49736.569863856035,1000,156.65343183029393,49.73656986385603,32.09007219569968,147.57061398874595,147.57061398874595,0.14757061398874594,147.57061398874595,90
quad wait tsp,0.98,1.5,1144.589999999104,75179.89649215221,1000,210.6170651204094,75.17989649215221,48.17710190942197,131.43525954986055,131.43525954986055,0.13143525954986054,131.43525954986055,119
quad wait tsp,0.98,1.5,1147.939999999101,67772.20331786064,1000,213.30520277312712,67.77220331786063,43.74051706896204,137.48901463173007,137.48901463173007,0.13748901463173008,137.48901463173007,117
quad wait tsp,0.98,1.5,1154.0499999990955,54425.16128745347,1000,136.65795091101916,54.42516128745347,30.023115781639927,141.93426399222898,141.93426399222898,0.14193426399222897,141.93426399222898,80
quad wait tsp,0.98,1.5,1153.1199999990963,60591.775708142646,1000,149.6392298518233,60.59177570814265,32.1284135702378,135.479132566314,135.479132566314,0.135479132566314,135.479132566314,86
quad wait tsp,0.98,1.5,1152.8299999990966,61919.51823536237,1000,194.17411405956386,61.91951823536237,39.71087406508049,140.88348677088635,140.88348677088635,0.14088348677088636,140.88348677088635,109
