policy,lambda,cost-exponent,sim-time,avg-srv-time,tasks-srvd,max-wait-time,avg-wait-time,wait-sd,total-travel-distance,avg-agent-dist,avg-task-dist,max-agent-dist,max_queue_len
quad wait tsp,0.6,5.0,1662.1999999986333,5865.206270537656,1000,21.551305345848277,5.865206270537656,4.076374713077609,470.7825134331157,470.7825134331157,0.4707825134331157,470.7825134331157,16
quad wait tsp,0.6,5.0,1668.6199999986275,5373.960085851498,1000,19.559840515487394,5.373960085851498,3.7224694916270376,460.4587336609811,460.4587336609811,0.4604587336609811,460.4587336609811,15
quad wait tsp,0.6,5.0,1759.7199999985446,4432.555102833732,1000,19.3354638448036,4.432555102833732,3.0288232680067164,490.9874979818291,490.9874979818291,0.4909874979818291,490.9874979818291,14
quad wait tsp,0.6,5.0,1737.1199999985652,4976.244656632971,1000,20.671403224589767,4.9762446566329706,3.516517115236096,484.6319451591402,484.6319451591402,0.48463194515914015,484.6319451591402,15
quad wait tsp,0.6,5.0,1691.159999998607,4814.863117761297,1000,16.08850657681728,4.814863117761297,3.2408273503309095,476.83744066232714,476.83744066232714,0.47683744066232714,476.83744066232714,12
quad wait tsp,0.7,5.0,1428.9699999988454,10111.491089046347,1000,34.31037131408914,10.111491089046346,6.711873229087764,383.08684214526363,383.08684214526363,0.3830868421452636,383.08684214526363,25
quad wait tsp,0.7,5.0,1435.8199999988392,9692.188645030325,1000,31.274550115462716,9.692188645030324,5.7420494747571045,377.4545041571985,377.4545041571985,0.3774545041571985,377.4545041571985,23
quad wait tsp,0.7,5.0,1509.669999998772,7387.975802443785,1000,26.70896900984212,7.387975802443785,4.701464426013404,421.6407972601275,421.6407972601275,0.4216407972601275,421.6407972601275,21
quad wait tsp,0.7,5.0,1493.6699999987866,8153.893991415452,1000,27.116780575636312,8.153893991415451,5.044148253783376,406.52573096910254,406.52573096910254,0.40652573096910255,406.52573096910254,21
quad wait tsp,0.7,5.0,1450.0299999988263,8685.805529524578,1000,29.20228952458524,8.685805529524577,5.271300748498371,395.65511704899114,395.65511704899114,0.39565511704899115,395.65511704899114,21
