policy,lambda,cost-exponent,sim-time,avg-srv-time,tasks-srvd,max-wait-time,avg-wait-time,wait-sd,total-travel-distance,avg-agent-dist,avg-task-dist,max-agent-dist,max_queue_len
quad wait tsp,0.6,1.4,1662.1999999986333,4342.136270539029,1000,22.107099866429735,4.342136270539029,3.3191039867889907,429.4256156087895,429.4256156087895,0.4294256156087895,429.4256156087895,12
quad wait tsp,0.6,1.4,1668.6199999986275,4464.060085852268,1000,25.830494470225403,4.464060085852267,3.576461519126857,420.14488127183415,420.14488127183415,0.42014488127183414,420.14488127183415,14
quad wait tsp,0.6,1.4,1759.7199999985446,3702.3251028343275,1000,19.329782951734387,3.7023251028343274,2.73194917354616,461.18920203966684,461.18920203966684,0.46118920203966685,461.18920203966684,12
quad wait tsp,0.6,1.4,1737.329999998565,4134.7346566336355,1000,21.385119741781864,4.134734656633635,3.230777563414261,442.81766286097474,442.81766286097474,0.44281766286097474,442.81766286097474,15
quad wait tsp,0.6,1.4,1691.159999998607,3953.673117762055,1000,37.78969443985943,3.953673117762055,3.1651081804718535,441.6981915919537,441.6981915919537,0.44169819159195367,441.6981915919537,12
quad wait tsp,0.7,1.4,1425.7199999988484,7088.021089049042,1000,35.868084457822874,7.088021089049041,5.825561094702156,338.95208875032637,338.95208875032637,0.33895208875032634,338.95208875032637,19
quad wait tsp,0.7,1.4,1431.2299999988434,6826.388645032889,1000,36.14197445182276,6.826388645032889,5.460606065396312,342.6430059826609,342.6430059826609,0.3426430059826609,342.6430059826609,20
quad wait tsp,0.7,1.4,1509.3899999987723,5400.15580244542,1000,35.720635678742724,5.40015580244542,4.174614170379668,389.6669376773882,389.6669376773882,0.3896669376773882,389.6669376773882,17
quad wait tsp,0.7,1.4,1490.4199999987895,6216.583991417007,1000,29.36691704965915,6.216583991417007,4.845483138574342,367.659920094653,367.659920094653,0.367659920094653,367.659920094653,19
quad wait tsp,0.7,1.4,1450.0299999988263,6118.595529526747,1000,34.27830951989836,6.118595529526747,4.752662768818176,364.01725154911475,364.01725154911475,0.36401725154911474,364.01725154911475,15
quad wait tsp,0.8,1.4,1253.8599999990047,14486.642202926983,1000,57.277418245243666,14.486642202926983,10.104675765947793,235.4030389995759,235.4030389995759,0.2354030389995759,235.4030389995759,34
quad wait tsp,0.8,1.4,1260.9499999989982,13534.947564412958,1000,49.512314323023475,13.534947564412958,9.311040154963873,242.67931733950874,242.67931733950874,0.24267931733950873,242.67931733950874,30
quad wait tsp,0.8,1.4,1324.92999999894,9970.426327151608,1000,47.62680621890297,9.970426327151609,7.248761635995817,286.21936585609905,286.21936585609905,0.28621936585609903,286.21936585609905,27
quad wait tsp,0.8,1.4,1309.639999998954,10729.825992501772,1000,40.93797350520754,10.729825992501771,7.427295889358365,268.07668199029473,268.07668199029473,0.2680766819902947,268.07668199029473,23
