policy,lambda,cost-exponent,sim-time,avg-srv-time,tasks-srvd,max-wait-time,avg-wait-time,wait-sd,total-travel-distance,avg-agent-dist,avg-task-dist,max-agent-dist,max_queue_len
quad wait tsp,0.6,3.0,1662.1999999986333,5526.236270537963,1000,21.061305345848723,5.526236270537963,3.8695957521823967,460.39905584404886,460.39905584404886,0.46039905584404883,460.39905584404886,16
quad wait tsp,0.6,3.0,1668.6199999986275,5164.610085851683,1000,21.754678802837475,5.164610085851683,3.5857270775661623,449.0626996626471,449.0626996626471,0.4490626996626471,449.0626996626471,15
quad wait tsp,0.6,3.0,1759.7199999985446,4250.565102833878,1000,19.02546384480388,4.250565102833878,2.8976208982052576,484.4220322685228,484.4220322685228,0.4844220322685228,484.4220322685228,14
quad wait tsp,0.6,3.0,1737.329999998565,4678.534656633227,1000,21.653031962898012,4.678534656633227,3.3558903838886596,470.3802137818031,470.3802137818031,0.4703802137818031,470.3802137818031,16
quad wait tsp,0.6,3.0,1691.159999998607,4606.193117761488,1000,16.048506576817317,4.606193117761488,3.114537075629836,469.8038318338543,469.8038318338543,0.4698038318338543,469.8038318338543,12
quad wait tsp,0.7,3.0,1427.189999998847,9159.741089047207,1000,38.30602280681944,9.159741089047207,6.51329962080874,369.5937869634006,369.5937869634006,0.3695937869634006,369.5937869634006,24
quad wait tsp,0.7,3.0,1433.5799999988412,8679.328645031246,1000,33.23972468815498,8.679328645031246,5.468683658654143,366.4956551292052,366.4956551292052,0.3664956551292052,366.4956551292052,22
quad wait tsp,0.7,3.0,1510.2799999987715,6788.6658024443095,1000,25.69348697614123,6.788665802444309,4.469691021668815,410.7251335147016,410.7251335147016,0.41072513351470163,410.7251335147016,20
quad wait tsp,0.7,3.0,1491.5399999987885,7488.87399141592,1000,28.056211325083495,7.48887399141592,4.959570487917876,395.57633531219506,395.57633531219506,0.39557633531219505,395.57633531219506,20
quad wait tsp,0.7,3.0,1450.0299999988263,7605.555529525496,1000,29.895591956635144,7.605555529525496,4.817332971535024,388.45640995516516,388.45640995516516,0.38845640995516517,388.45640995516516,18
quad wait tsp,0.8,3.0,1263.0299999989963,23888.472202918554,1000,65.64583979074177,23.888472202918553,12.521254550062569,247.23454346920894,247.23454346920894,0.24723454346920895,247.23454346920894,44
quad wait tsp,0.8,3.0,1273.259999998987,19834.22756440747,1000,46.49273135102908,19.83422756440747,10.2328137814284,262.1391118251591,262.1391118251591,0.2621391118251591,262.1391118251591,33
quad wait tsp,0.8,3.0,1326.8899999989383,15000.536327147425,1000,42.4791870038423,15.000536327147426,8.76406252155024,306.93752067040333,306.93752067040333,0.3069375206704033,306.93752067040333,33
quad wait tsp,0.8,3.0,1315.7499999989484,15340.48599249781,1000,39.448477557616684,15.34048599249781,7.1589730253022505,289.23872637738816,289.23872637738816,0.2892387263773882,289.23872637738816,26
quad wait tsp,0.8,3.0,1291.4699999989705,19547.177338339552,1000,49.631051691778566,19.54717733833955,9.808878515762872,267.53130460795296,267.53130460795296,0.26753130460795294,267.53130460795296,39
quad wait tsp,0.85,3.0,1218.9999999990364,38187.11560274064,1000,81.32308080980101,38.18711560274064,19.496313303036967,205.53286696177872,205.53286696177872,0.20553286696177872,205.53286696177872,58
quad wait tsp,0.85,3.0,1226.6199999990295,31942.79888414385,1000,71.53495437972128,31.942798884143848,17.164487110135227,215.78248673647386,215.78248673647386,0.21578248673647385,215.78248673647386,51
quad wait tsp,0.85,3.0,1258.3899999990006,23799.18771966718,1000,58.50212209049653,23.79918771966718,11.479281278487337,246.1977851742201,246.1977851742201,0.24619778517422009,246.1977851742201,39
quad wait tsp,0.85,3.0,1249.5599999990086,25184.826228231053,1000,54.92647173217779,25.184826228231053,9.780567846274556,229.73331808968788,229.73331808968788,0.2297333180896879,229.73331808968788,38
quad wait tsp,0.85,3.0,1239.3599999990179,31029.113965493096,1000,73.16320226062362,31.029113965493096,15.711211536320413,225.04746148734054,225.04746148734054,0.22504746148734053,225.04746148734054,57
quad wait tsp,0.9,3.0,1198.9199999990547,59896.71751368463,1000,131.27360422907077,59.89671751368463,32.260241322236105,185.57195523370737,185.57195523370737,0.18557195523370737,185.57195523370737,87
quad wait tsp,0.9,3.0,1198.7699999990548,49698.28005723706,1000,111.05694634237489,49.69828005723706,26.987167535749347,188.24822654504626,188.24822654504626,0.18824822654504628,188.24822654504626,79
quad wait tsp,0.9,3.0,1214.4199999990406,39137.293401900606,1000,85.98380267147559,39.13729340190061,17.412310891106333,202.20907571281398,202.20907571281398,0.202209075712814,202.20907571281398,61
quad wait tsp,0.9,3.0,1209.7299999990448,41897.87310443146,1000,81.69759707822061,41.89787310443146,15.693710938210629,191.1146724820613,191.1146724820613,0.19111467248206132,191.1146724820613,58
quad wait tsp,0.9,3.0,1207.8099999990466,46459.8987451797,1000,111.30624175553191,46.4598987451797,24.101543180767184,195.75408550362022,195.75408550362022,0.19575408550362022,195.75408550362022,79
quad wait tsp,0.95,3.0,1184.4199999990678,80541.89185505523,1000,181.9821681623282,80.54189185505524,45.54016604418745,171.10152097528632,171.10152097528632,0.17110152097528633,171.10152097528632,122
quad wait tsp,0.95,3.0,1180.7699999990712,68323.95163315989,1000,158.2373774287148,68.32395163315988,38.798746579946666,170.28570238247235,170.28570238247235,0.17028570238247234,170.28570238247235,114
quad wait tsp,0.95,3.0,1192.6299999990604,58006.663222841365,1000,113.61268208439981,58.00666322284137,27.538173430536972,180.62974891404627,180.62974891404627,0.18062974891404626,180.62974891404627,83
quad wait tsp,0.95,3.0,1190.5099999990623,63393.03294102625,1000,129.31302158486665,63.39303294102625,27.762830612985365,172.94040479136044,172.94040479136044,0.17294040479136044,172.94040479136044,88
quad wait tsp,0.95,3.0,1187.0699999990654,63630.43986384368,1000,149.455425840727,63.630439863843684,35.0112927964376,175.2683302460999,175.2683302460999,0.17526833024609992,175.2683302460999,107
quad wait tsp,0.98,3.0,1176.6899999990749,93225.61649213608,1000,204.60773922607245,93.22561649213607,52.84403859859787,163.52151614590278,163.52151614590278,0.16352151614590277,163.52151614590278,144
quad wait tsp,0.98,3.0,1172.8699999990783,81111.27331784878,1000,182.1363286231316,81.11127331784878,46.32341417939567,162.46629531534188,162.46629531534188,0.16246629531534187,162.46629531534188,136
quad wait tsp,0.98,3.0,1182.12999999907,69130.77128744038,1000,142.31464493190595,69.13077128744038,33.01878547152397,170.05263202836383,170.05263202836383,0.17005263202836382,170.05263202836383,96
quad wait tsp,0.98,3.0,1183.9199999990683,77229.88570812781,1000,166.4090363881313,77.22988570812781,35.45059928291802,166.28239664517736,166.28239664517736,0.16628239664517735,166.28239664517736,111
quad wait tsp,0.98,3.0,1183.189999999069,78415.68823534773,1000,193.8609578536092,78.41568823534773,44.15887905872003,171.2493382024198,171.2493382024198,0.1712493382024198,171.2493382024198,132
