policy,lambda,cost-exponent,sim-time,avg-srv-time,tasks-srvd,max-wait-time,avg-wait-time,wait-sd,total-travel-distance,avg-agent-dist,avg-task-dist,max-agent-dist,max_queue_len
quad wait tsp,0.6,1.0,1662.1999999986333,4182.40627053917,1000,31.885323882933562,4.18240627053917,3.839789450019478,427.0417335989104,427.0417335989104,0.4270417335989104,427.0417335989104,11
quad wait tsp,0.6,1.0,1668.6199999986275,4326.730085852406,1000,25.169108613695244,4.326730085852406,3.9058158791549444,417.62811007132166,417.62811007132166,0.41762811007132167,417.62811007132166,13
quad wait tsp,0.6,1.0,1759.7199999985446,3570.575102834442,1000,36.41240829184835,3.570575102834442,3.144095908699646,457.0620505798064,457.0620505798064,0.4570620505798064,457.0620505798064,12
quad wait tsp,0.6,1.0,1737.5499999985648,4058.2146566337115,1000,31.95541273175013,4.058214656633711,3.6905346104274126,442.7117884032475,442.7117884032475,0.4427117884032475,442.7117884032475,14
quad wait tsp,0.6,1.0,1691.159999998607,3867.7431177621293,1000,31.069694439865543,3.8677431177621293,3.4726204326715258,438.6111115154923,438.6111115154923,0.4386111115154923,438.6111115154923,12
quad wait tsp,0.7,1.0,1425.8099999988483,6743.691089049353,1000,56.55808445780406,6.743691089049353,6.8576310323725895,333.40829472437144,333.40829472437144,0.33340829472437145,333.40829472437144,18
quad wait tsp,0.7,1.0,1431.2299999988434,6371.778645033289,1000,42.984550115452066,6.371778645033289,6.505490160525265,339.64299469016385,339.64299469016385,0.33964299469016385,339.64299469016385,19
quad wait tsp,0.7,1.0,1509.0299999987726,5092.635802445669,1000,40.370635678738495,5.092635802445669,4.866564837071807,381.2251121873075,381.2251121873075,0.3812251121873075,381.2251121873075,16
quad wait tsp,0.7,1.0,1490.4199999987895,5752.983991417413,1000,44.75678057562027,5.752983991417413,5.9011323954971475,361.9500791412701,361.9500791412701,0.36195007914127014,361.9500791412701,18
quad wait tsp,0.7,1.0,1450.0299999988263,5689.645529527128,1000,27.847133651549484,5.689645529527128,5.079544485584624,357.75368427566815,357.75368427566815,0.35775368427566817,357.75368427566815,13
quad wait tsp,0.8,1.0,1251.209999999007,12151.552202929102,1000,100.57582390055052,12.151552202929102,12.854462310396231,229.47181308494416,229.47181308494416,0.22947181308494416,229.47181308494416,32
quad wait tsp,0.8,1.0,1260.8099999989984,12253.517564414062,1000,111.77519773434358,12.253517564414063,12.975505203839115,239.26873498896146,239.26873498896146,0.23926873498896145,239.26873498896146,29
quad wait tsp,0.8,1.0,1324.3199999989406,8961.90632715241,1000,99.54680621885575,8.96190632715241,9.25966469228718,283.5496020901483,283.5496020901483,0.2835496020901483,283.5496020901483,26
quad wait tsp,0.8,1.0,1308.0599999989554,9590.585992502723,1000,98.53974254487895,9.590585992502723,9.493375154416576,264.41452398268825,264.41452398268825,0.2644145239826883,264.41452398268825,22
quad wait tsp,0.8,1.0,1272.4399999989878,10308.987338347712,1000,104.40968665229116,10.30898733834771,9.938765212781814,242.66297199296068,242.66297199296068,0.2426629719929607,242.66297199296068,25
quad wait tsp,0.85,1.0,1186.8799999990656,20551.305602756434,1000,111.53937335950718,20.551305602756436,18.769380647135,172.60729488885545,172.60729488885545,0.17260729488885546,172.60729488885545,42
