policy,lambda,cost-exponent,sim-time,avg-srv-time,tasks-srvd,max-wait-time,avg-wait-time,wait-sd,total-travel-distance,avg-agent-dist,avg-task-dist,max-agent-dist,max_queue_len
weighted tsp,0.6,-4.0,1661.499999998634,4297.896270539044,1000,17.05672037620002,4.297896270539044,3.161757477821549,394.501909127449,394.501909127449,0.394501909127449,394.501909127449,14
weighted tsp,0.6,-4.0,1668.6499999986274,4141.680085852621,1000,15.536321671920973,4.141680085852621,2.8739204218445784,404.24816553259166,404.24816553259166,0.40424816553259163,404.24816553259166,13
weighted tsp,0.6,-4.0,1759.9499999985444,3343.7851028346104,1000,14.322249338448046,3.34378510283461,2.2578084210045013,430.2152099764491,430.2152099764491,0.4302152099764491,430.2152099764491,11
weighted tsp,0.6,-4.0,1735.8699999985663,3858.3346566338696,1000,17.402770496152243,3.8583346566338697,2.8959898794709575,401.7294380666799,401.7294380666799,0.4017294380666799,401.7294380666799,14
weighted tsp,0.6,-4.0,1690.8199999986073,3759.78311776221,1000,13.370297018302779,3.7597831177622103,2.5226518376143954,411.16450960700905,411.16450960700905,0.41116450960700907,411.16450960700905,11
weighted tsp,0.7,-4.0,1424.5399999988495,7144.471089048979,1000,26.394900142735196,7.144471089048979,5.951710302649272,321.9456866909502,321.9456866909502,0.3219456866909502,321.9456866909502,22
weighted tsp,0.7,-4.0,1432.819999998842,6461.808645033215,1000,20.605116290124215,6.461808645033215,4.336536316971011,329.2008024723823,329.2008024723823,0.3292008024723823,329.2008024723823,18
weighted tsp,0.7,-4.0,1508.7499999987729,4804.9858024459245,1000,16.96981395864873,4.804985802445924,3.300236672019404,366.2079574969288,366.2079574969288,0.3662079574969288,366.2079574969288,15
weighted tsp,0.7,-4.0,1489.2799999987906,5720.013991417407,1000,21.968453740975747,5.720013991417407,4.292638463018448,341.3030957051205,341.3030957051205,0.34130309570512046,341.3030957051205,19
weighted tsp,0.7,-4.0,1449.6899999988266,5654.495529527143,1000,17.582289524595808,5.654495529527143,3.8730256028995376,340.8101745459682,340.8101745459682,0.34081017454596824,340.8101745459682,15
weighted tsp,0.8,-4.0,1254.9399999990037,17392.55220292429,1000,42.45590288783296,17.39255220292429,9.797636059341754,231.1988318258862,231.1988318258862,0.23119883182588621,231.1988318258862,36
weighted tsp,0.8,-4.0,1264.9399999989946,13627.147564412771,1000,29.82819247087366,13.627147564412772,7.795997871028837,246.33762020465542,246.33762020465542,0.2463376202046554,246.33762020465542,25
weighted tsp,0.8,-4.0,1322.5199999989422,10509.376327151156,1000,28.579315170350924,10.509376327151156,6.827192428305178,280.03917472355175,280.03917472355175,0.2800391747235518,280.03917472355175,25
weighted tsp,0.8,-4.0,1306.7899999989565,10117.255992502149,1000,26.309897023364783,10.117255992502148,6.308970880619246,264.77399825670005,264.77399825670005,0.26477399825670006,264.77399825670005,22
weighted tsp,0.8,-4.0,1276.9599999989837,12821.357338345331,1000,32.00575391698294,12.821357338345331,6.499571809632862,244.70014615084065,244.70014615084065,0.24470014615084065,244.70014615084065,28
weighted tsp,0.85,-4.0,1211.8899999990429,31906.39560274611,1000,61.555800117536705,31.90639560274611,17.030515541636483,196.35927818763486,196.35927818763486,0.19635927818763485,196.35927818763486,54
weighted tsp,0.85,-4.0,1220.419999999035,24412.438884150288,1000,51.89764052707301,24.412438884150287,14.064456702463174,209.00901570059872,209.00901570059872,0.2090090157005987,209.00901570059872,41
weighted tsp,0.85,-4.0,1247.92999999901,16866.707719673002,1000,41.10942698282838,16.866707719673002,10.408386987446436,231.05750592745247,231.05750592745247,0.23105750592745247,231.05750592745247,33
weighted tsp,0.85,-4.0,1239.8099999990175,18746.446228236615,1000,42.50634405526739,18.746446228236614,8.79184341698724,223.18845556086816,223.18845556086816,0.22318845556086817,223.18845556086816,35
weighted tsp,0.85,-4.0,1232.4299999990242,25408.533965497656,1000,54.47573573773525,25.408533965497657,13.02680066291516,208.21930809876682,208.21930809876682,0.20821930809876682,208.21930809876682,47
weighted tsp,0.9,-4.0,1187.579999999065,51505.28751369196,1000,91.44391602446615,51.50528751369196,28.190831388434308,173.4087894862772,173.4087894862772,0.1734087894862772,173.4087894862772,78
weighted tsp,0.9,-4.0,1186.419999999066,41286.030057244396,1000,82.9107053701805,41.286030057244396,22.495707026315742,176.25528817040308,176.25528817040308,0.1762552881704031,176.25528817040308,68
