policy,lambda,cost-exponent,sim-time,avg-srv-time,tasks-srvd,max-wait-time,avg-wait-time,wait-sd,total-travel-distance,avg-agent-dist,avg-task-dist,max-agent-dist,max_queue_len
quad wait tsp,0.6,1.0,1661.499999998634,3440.896270539825,1000,24.52784134726005,3.4408962705398247,3.0398325952794014,364.74272984629204,364.74272984629204,0.364742729846292,364.74272984629204,11
quad wait tsp,0.6,1.0,1668.4399999986276,3488.1600858531274,1000,28.772222435349136,3.4881600858531274,3.21598622676688,372.0456354500974,372.0456354500974,0.3720456354500974,372.0456354500974,12
quad wait tsp,0.6,1.0,1759.9499999985444,3003.6051028349,1000,21.935463844801234,3.0036051028349,2.4873107980070226,405.24344394889647,405.24344394889647,0.40524344394889644,405.24344394889647,10
quad wait tsp,0.6,1.0,1736.139999998566,3366.314656634272,1000,32.60729800691479,3.366314656634272,3.2803082973510835,376.0913658168105,376.0913658168105,0.37609136581681046,376.0913658168105,13
quad wait tsp,0.6,1.0,1690.8199999986073,3224.2831177626867,1000,20.96576536690958,3.224283117762687,2.7738888357591622,380.842727028135,380.842727028135,0.38084272702813504,380.842727028135,10
quad wait tsp,0.7,1.0,1424.5399999988495,5032.451089050887,1000,36.015991899669984,5.032451089050888,5.003041115492444,279.6310453990951,279.6310453990951,0.2796310453990951,279.6310453990951,17
quad wait tsp,0.7,1.0,1431.0499999988435,4831.728645034635,1000,50.51190494458331,4.831728645034635,4.823177347917616,296.4311790685183,296.4311790685183,0.2964311790685183,296.4311790685183,15
quad wait tsp,0.7,1.0,1508.7499999987729,3884.3658024466285,1000,27.125321972348388,3.8843658024466285,3.4846960118958252,330.6254438716822,330.6254438716822,0.3306254438716822,330.6254438716822,13
quad wait tsp,0.7,1.0,1488.2299999987915,4656.063991418344,1000,56.11315136015287,4.6560639914183435,4.896916434412165,308.56423148739356,308.56423148739356,0.30856423148739354,308.56423148739356,18
quad wait tsp,0.7,1.0,1449.6899999988266,4348.385529528276,1000,27.736011774065105,4.348385529528276,3.9468348776575555,305.0465244978564,305.0465244978564,0.3050465244978564,305.0465244978564,12
quad wait tsp,0.8,1.0,1248.7399999990093,8166.302202932641,1000,97.20515922559048,8.166302202932641,9.968669765906812,199.661383701533,199.661383701533,0.199661383701533,199.661383701533,26
quad wait tsp,0.8,1.0,1255.8699999990029,7620.187564418212,1000,58.01714859567869,7.620187564418212,7.063991732137045,210.68117329754395,210.68117329754395,0.21068117329754396,210.68117329754395,21
