policy,lambda,cost-exponent,sim-time,avg-srv-time,tasks-srvd,max-wait-time,avg-wait-time,wait-sd,total-travel-distance,avg-agent-dist,avg-task-dist,max-agent-dist,max_queue_len
batch tsp,0.6,-2.0,1661.499999998634,4028.1962705392984,1000,21.246760101841346,4.028196270539299,3.0140434151682296,390.137235390418,390.137235390418,0.390137235390418,390.137235390418,11
batch tsp,0.6,-2.0,1668.4299999986276,4003.130085852698,1000,18.426321671918345,4.003130085852698,2.8476534810009935,395.25012281212526,395.25012281212526,0.39525012281212524,395.25012281212526,13
batch tsp,0.6,-2.0,1759.9499999985444,3278.7551028346697,1000,18.739452127928985,3.2787551028346695,2.293380431139931,426.8960958359553,426.8960958359553,0.4268960958359553,426.8960958359553,11
batch tsp,0.6,-2.0,1735.8699999985663,3755.4046566339885,1000,20.437545926419943,3.7554046566339885,2.8706718191341443,394.4896079208136,394.4896079208136,0.3944896079208136,394.4896079208136,12
batch tsp,0.6,-2.0,1690.8199999986073,3638.4331177623217,1000,15.669135698538526,3.6384331177623217,2.4970468255985163,406.3128681293488,406.3128681293488,0.40631286812934875,406.3128681293488,10
batch tsp,0.7,-2.0,1424.5399999988495,6252.3610890498,1000,32.54939189010645,6.2523610890498,5.27050901475059,305.01370133974785,305.01370133974785,0.30501370133974787,305.01370133974785,17
batch tsp,0.7,-2.0,1431.0399999988435,5745.65864503384,1000,29.825305367304964,5.74565864503384,4.204054041339445,315.4709002659474,315.4709002659474,0.31547090026594743,315.4709002659474,17
batch tsp,0.7,-2.0,1508.7499999987729,4484.795802446183,1000,22.733816109667032,4.484795802446183,3.1932156985353273,354.7679578424691,354.7679578424691,0.3547679578424691,354.7679578424691,13
batch tsp,0.7,-2.0,1489.2499999987906,5305.673991417794,1000,30.042958249637195,5.305673991417795,4.3070337106027985,332.1008654793422,332.1008654793422,0.3321008654793422,332.1008654793422,16
batch tsp,0.7,-2.0,1449.6899999988266,5034.105529527689,1000,20.39180801051731,5.0341055295276895,3.645821783716915,325.69432131276955,325.69432131276955,0.32569432131276954,325.69432131276955,12
batch tsp,0.8,-2.0,1250.5399999990077,10888.202202930224,1000,54.38857981889066,10.888202202930223,8.581385921951265,218.2009349783045,218.2009349783045,0.2182009349783045,218.2009349783045,30
