policy,lambda,cost-exponent,sim-time,avg-srv-time,tasks-srvd,max-wait-time,avg-wait-time,wait-sd,total-travel-distance,avg-agent-dist,avg-task-dist,max-agent-dist,max_queue_len
quad wait tsp,0.6,2.0,1661.499999998634,3858.336270539446,1000,23.792473821636918,3.858336270539446,2.775532857509358,384.23161702418025,384.23161702418025,0.38423161702418024,384.23161702418025,13
quad wait tsp,0.6,2.0,1668.4399999986276,3850.540085852813,1000,18.63448787242794,3.850540085852813,2.6804410402835295,387.84943582296995,387.84943582296995,0.38784943582296993,387.84943582296995,12
quad wait tsp,0.6,2.0,1759.9499999985444,3204.3951028347383,1000,13.005463844809356,3.2043951028347384,2.0959179624514834,420.0138524136951,420.0138524136951,0.4200138524136951,420.0138524136951,11
quad wait tsp,0.6,2.0,1736.139999998566,3633.6246566340506,1000,18.25957733822952,3.6336246566340504,2.6695348584048255,390.48442613136683,390.48442613136683,0.39048442613136686,390.48442613136683,14
quad wait tsp,0.6,2.0,1690.8199999986073,3529.6231177624168,1000,14.905765366915091,3.5296231177624167,2.355408330556754,398.5990612728338,398.5990612728338,0.3985990612728338,398.5990612728338,11
quad wait tsp,0.7,2.0,1424.8899999988491,6121.6910890499075,1000,31.663548989984747,6.121691089049907,4.911369812093709,303.8379247188671,303.8379247188671,0.3038379247188671,303.8379247188671,20
quad wait tsp,0.7,2.0,1431.0499999988435,5742.8386450338385,1000,27.80914327228743,5.742838645033839,4.090219064544019,312.21426500783235,312.21426500783235,0.31221426500783234,312.21426500783235,18
quad wait tsp,0.7,2.0,1508.7499999987729,4438.925802446178,1000,17.17812331634468,4.438925802446178,3.0662712625909405,350.74770559603616,350.74770559603616,0.35074770559603613,350.74770559603616,14
quad wait tsp,0.7,2.0,1488.2199999987915,5140.693991417927,1000,29.963151360176653,5.140693991417926,3.9590033403725555,326.2491990378332,326.2491990378332,0.32624919903783317,326.2491990378332,19
quad wait tsp,0.7,2.0,1449.6899999988266,5129.2855295276,1000,19.883431341959522,5.129285529527601,3.4956321559651657,326.0320374395912,326.0320374395912,0.3260320374395912,326.0320374395912,12
quad wait tsp,0.8,2.0,1251.0199999990073,11019.98220293007,1000,49.30613049628607,11.01998220293007,8.154104392780425,219.13072911310877,219.13072911310877,0.21913072911310877,219.13072911310877,32
quad wait tsp,0.8,2.0,1260.059999998999,9776.777564416288,1000,33.94958775524094,9.776777564416289,5.627165758208001,231.2893072331532,231.2893072331532,0.23128930723315322,231.2893072331532,23
quad wait tsp,0.8,2.0,1321.689999998943,7830.996327153339,1000,30.56335790180549,7.830996327153339,5.2362888152009575,269.67589072801087,269.67589072801087,0.26967589072801085,269.67589072801087,23
quad wait tsp,0.8,2.0,1305.8399999989574,8578.415992503536,1000,34.082757440165096,8.578415992503537,5.861877485702786,245.1921256755972,245.1921256755972,0.2451921256755972,245.1921256755972,23
quad wait tsp,0.8,2.0,1268.909999998991,9144.297338348619,1000,34.63175242421664,9.144297338348618,5.273311442870398,232.43887363523206,232.43887363523206,0.23243887363523205,232.43887363523206,22
quad wait tsp,0.85,2.0,1183.149999999069,19258.55560275748,1000,61.49580011753676,19.25855560275748,11.250295226677364,163.37953146890692,163.37953146890692,0.1633795314689069,163.37953146890692,43
quad wait tsp,0.85,2.0,1196.1299999990572,15497.918884158295,1000,46.230348462171946,15.497918884158295,8.651909747790166,182.93606593389265,182.93606593389265,0.18293606593389264,182.93606593389265,29
quad wait tsp,0.85,2.0,1246.2599999990116,12416.487719677029,1000,38.00923482715609,12.41648771967703,8.277120336960607,216.8428567957334,216.8428567957334,0.21684285679573342,216.8428567957334,30
quad wait tsp,0.85,2.0,1233.9599999990228,11960.696228242692,1000,33.4197016505384,11.960696228242693,6.5504228165035085,204.82534576468456,204.82534576468456,0.20482534576468456,204.82534576468456,25
quad wait tsp,0.85,2.0,1207.0299999990473,15217.523965506734,1000,44.17811992867246,15.217523965506734,7.747326121494409,179.85296969645972,179.85296969645972,0.17985296969645972,179.85296969645972,32
quad wait tsp,0.9,2.0,1147.5799999991013,34591.52751370719,1000,78.58211599668255,34.591527513707184,18.716512868177322,133.44075026839838,133.44075026839838,0.13344075026839838,133.44075026839838,59
quad wait tsp,0.9,2.0,1154.7499999990948,25856.040057258306,1000,75.46385677824992,25.856040057258305,14.362754870740197,144.66575138702913,144.66575138702913,0.14466575138702914,144.66575138702913,45
quad wait tsp,0.9,2.0,1181.2799999990707,18108.263401919205,1000,55.32792479427496,18.108263401919206,10.371306439710335,169.08967652201207,169.08967652201207,0.16908967652201207,169.08967652201207,36
quad wait tsp,0.9,2.0,1173.349999999078,19508.7531044514,1000,50.76042566396234,19.5087531044514,8.940333163560213,157.27111003389336,157.27111003389336,0.15727111003389335,157.27111003389336,35
quad wait tsp,0.9,2.0,1166.3899999990842,25964.94874519764,1000,71.88844740799902,25.96494874519764,13.7768738686259,145.0124881480862,145.0124881480862,0.1450124881480862,145.0124881480862,51
quad wait tsp,0.95,2.0,1130.389999999117,53445.571855079404,1000,119.48325449741219,53.44557185507941,30.40474385939209,116.29746786266597,116.29746786266597,0.11629746786266597,116.29746786266597,85
